"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"AR","5-14 years","Black or African American",18,70951,NA,77,21,24.3,5,73346,60,43.8,8.7,25.3696212879311,29.5978915025863,4.22827021465519,73346,24.3,1,1
"AR","5-14 years","White",50,292043,NA,172,46.9,24.3,5,73346,60,43.8,8.7,17.120766462473,16.0592789417997,-1.06148752067332,73346,24.3,1,1
"AR","15-24 years","Black or African American",112,73994,NA,518,141.3,24.3,5,73346,60,43.8,8.7,151.363624077628,190.961429305079,39.5978052274509,73346,24.3,1,1
"AR","15-24 years","White",260,297580,18,872,237.8,24.3,5,73346,60,43.8,8.7,87.3714631359634,79.9112843605081,-7.46017877545533,73346,24.3,1,1
"AR","25-34 years","Black or African American",154,70423,43,774,211.1,24.3,5,73346,60,43.8,8.7,218.678556721526,299.760021583858,81.0814648623319,73346,24.3,1,1
"AR","25-34 years","White",407,301896,85,1813,494.5,24.3,5,73346,60,43.8,8.7,134.814638153536,163.798129157061,28.9834910035244,73346,24.3,1,1
"AR","35-44 years","Black or African American",264,59802,97,1179,321.5,24.3,5,73346,60,43.8,8.7,441.456807464633,537.607437878332,96.1506304136985,73346,24.3,1,1
"AR","35-44 years","White",715,290506,225,3372,919.6,24.3,5,73346,60,43.8,8.7,246.122283188643,316.55112114724,70.4288379585964,73346,24.3,1,1
"AR","45-54 years","Black or African American",383,52749,183,1734,472.9,24.3,5,73346,60,43.8,8.7,726.080115262849,896.509886443345,170.429771180496,73346,24.3,1,1
"AR","45-54 years","White",1541,293757,504,6585,1795.9,24.3,5,73346,60,43.8,8.7,524.583243973761,611.35564429103,86.772400317269,73346,24.3,1,1
"AR","55-64 years","Black or African American",861,55342,344,3510,957.3,24.3,5,73346,60,43.8,8.7,1555.78041993423,1729.78931010806,174.008890173828,73346,24.3,1,1
"AR","55-64 years","White",3861,317526,1321,15889,4333.4,24.3,5,73346,60,43.8,8.7,1215.96341716899,1364.7386355763,148.775218407312,73346,24.3,1,1
"AR","65-74 years","Black or African American",1036,35744,435,4551,1241.2,24.3,5,73346,60,43.8,8.7,2898.38854073411,3472.4709042077,574.08236347359,73346,24.3,1,1
"AR","65-74 years","White",5964,258309,2377,25698,7008.5,24.3,5,73346,60,43.8,8.7,2308.86264125524,2713.22331006663,404.360668811384,73346,24.3,1,1
"AR","75-84 years","Black or African American",804,13528,349,3258,888.5,24.3,5,73346,60,43.8,8.7,5943.22885866351,6567.85925487877,624.630396215257,73346,24.3,1,1
"AR","75-84 years","White",7577,143740,3038,32099,8754.3,24.3,5,73346,60,43.8,8.7,5271.32322248504,6090.37150410463,819.048281619591,73346,24.3,1,1
